Area,Year,Ethnicity,Projection,Age,Sex,Value,Flags
"Upper Harbour local board area","2038","Maori","Medium","Total people, all ages","Total people",5660,
"Upper Harbour local board area","2013","Total population","Medium","Total people, all ages","Total people",56800,
"Upper Harbour local board area","2018","Total population","Medium","Total people, all ages","Total people",69100,
"Upper Harbour local board area","2023","Total population","Medium","Total people, all ages","Total people",80500,
"Upper Harbour local board area","2028","Total population","Medium","Total people, all ages","Total people",91200,
"Upper Harbour local board area","2033","Total population","Medium","Total people, all ages","Total people",101600,
"Upper Harbour local board area","2038","Total population","Medium","Total people, all ages","Total people",111700,
"Kaipatiki local board area","2013","Maori","Medium","Total people, all ages","Total people",7950,
"Kaipatiki local board area","2018","Maori","Medium","Total people, all ages","Total people",8450,
"Kaipatiki local board area","2023","Maori","Medium","Total people, all ages","Total people",8910,
"Kaipatiki local board area","2028","Maori","Medium","Total people, all ages","Total people",9210,
"Kaipatiki local board area","2033","Maori","Medium","Total people, all ages","Total people",9520,
"Kaipatiki local board area","2038","Maori","Medium","Total people, all ages","Total people",9840,
"Kaipatiki local board area","2013","Total population","Medium","Total people, all ages","Total people",87000,
"Kaipatiki local board area","2018","Total population","Medium","Total people, all ages","Total people",94900,
"Kaipatiki local board area","2023","Total population","Medium","Total people, all ages","Total people",100300,
"Kaipatiki local board area","2028","Total population","Medium","Total people, all ages","Total people",103900,
"Kaipatiki local board area","2033","Total population","Medium","Total people, all ages","Total people",106700,
"Kaipatiki local board area","2038","Total population","Medium","Total people, all ages","Total people",109000,
"Devonport-Takapuna local board area","2013","Maori","Medium","Total people, all ages","Total people",3450,
"Devonport-Takapuna local board area","2018","Maori","Medium","Total people, all ages","Total people",3720,
"Devonport-Takapuna local board area","2023","Maori","Medium","Total people, all ages","Total people",3890,
"Devonport-Takapuna local board area","2028","Maori","Medium","Total people, all ages","Total people",4030,
"Devonport-Takapuna local board area","2033","Maori","Medium","Total people, all ages","Total people",4140,
"Devonport-Takapuna local board area","2038","Maori","Medium","Total people, all ages","Total people",4230,
"Devonport-Takapuna local board area","2013","Total population","Medium","Total people, all ages","Total people",58500,
"Devonport-Takapuna local board area","2018","Total population","Medium","Total people, all ages","Total people",63100,
"Devonport-Takapuna local board area","2023","Total population","Medium","Total people, all ages","Total people",66500,
"Devonport-Takapuna local board area","2028","Total population","Medium","Total people, all ages","Total people",69500,
"Devonport-Takapuna local board area","2033","Total population","Medium","Total people, all ages","Total people",72300,
"Devonport-Takapuna local board area","2038","Total population","Medium","Total people, all ages","Total people",74700,
"Henderson-Massey local board area","2013","Maori","Medium","Total people, all ages","Total people",18650,
"Henderson-Massey local board area","2018","Maori","Medium","Total people, all ages","Total people",20500,
"Henderson-Massey local board area","2023","Maori","Medium","Total people, all ages","Total people",22300,
"Henderson-Massey local board area","2028","Maori","Medium","Total people, all ages","Total people",23900,
"Henderson-Massey local board area","2033","Maori","Medium","Total people, all ages","Total people",25800,
