Area,Year,Ethnicity,Projection,Age,Sex,Value,Flags
"Waipa district","2023","Total population","Medium","Total people, all ages","Total people",57200,
"Waipa district","2028","Total population","Medium","Total people, all ages","Total people",59900,
"Waipa district","2033","Total population","Medium","Total people, all ages","Total people",62300,
"Waipa district","2038","Total population","Medium","Total people, all ages","Total people",64300,
"Otorohanga district","2013","Maori","Medium","Total people, all ages","Total people",2640,
"Otorohanga district","2018","Maori","Medium","Total people, all ages","Total people",2900,
"Otorohanga district","2023","Maori","Medium","Total people, all ages","Total people",3120,
"Otorohanga district","2028","Maori","Medium","Total people, all ages","Total people",3320,
"Otorohanga district","2033","Maori","Medium","Total people, all ages","Total people",3550,
"Otorohanga district","2038","Maori","Medium","Total people, all ages","Total people",3820,
"Otorohanga district","2013","Total population","Medium","Total people, all ages","Total people",9590,
"Otorohanga district","2018","Total population","Medium","Total people, all ages","Total people",10300,
"Otorohanga district","2023","Total population","Medium","Total people, all ages","Total people",10850,
"Otorohanga district","2028","Total population","Medium","Total people, all ages","Total people",11000,
"Otorohanga district","2033","Total population","Medium","Total people, all ages","Total people",11000,
"Otorohanga district","2038","Total population","Medium","Total people, all ages","Total people",10950,
"South Waikato district","2013","Maori","Medium","Total people, all ages","Total people",7650,
"South Waikato district","2018","Maori","Medium","Total people, all ages","Total people",8270,
"South Waikato district","2023","Maori","Medium","Total people, all ages","Total people",8750,
"South Waikato district","2028","Maori","Medium","Total people, all ages","Total people",9190,
"South Waikato district","2033","Maori","Medium","Total people, all ages","Total people",9630,
"South Waikato district","2038","Maori","Medium","Total people, all ages","Total people",10100,
"South Waikato district","2013","Total population","Medium","Total people, all ages","Total people",23200,
"South Waikato district","2018","Total population","Medium","Total people, all ages","Total people",24000,
"South Waikato district","2023","Total population","Medium","Total people, all ages","Total people",24000,
"South Waikato district","2028","Total population","Medium","Total people, all ages","Total people",23800,
"South Waikato district","2033","Total population","Medium","Total people, all ages","Total people",23300,
"South Waikato district","2038","Total population","Medium","Total people, all ages","Total people",22600,
"Waitomo district","2013","Maori","Medium","Total people, all ages","Total people",3940,
"Waitomo district","2018","Maori","Medium","Total people, all ages","Total people",4130,
"Waitomo district","2023","Maori","Medium","Total people, all ages","Total people",4270,
"Waitomo district","2028","Maori","Medium","Total people, all ages","Total people",4410,
"Waitomo district","2033","Maori","Medium","Total people, all ages","Total people",4530,
"Waitomo district","2038","Maori","Medium","Total people, all ages","Total people",4650,
"Waitomo district","2013","Total population","Medium","Total people, all ages","Total people",9340,
"Waitomo district","2018","Total population","Medium","Total people, all ages","Total people",9830,
"Waitomo district","2023","Total population","Medium","Total people, all ages","Total people",9770,
"Waitomo district","2028","Total population","Medium","Total people, all ages","Total people",9650,
"Waitomo district","2033","Total population","Medium","Total people, all ages","Total people",9430,
"Waitomo district","2038","Total population","Medium","Total people, all ages","Total people",9120,
"Taupo district","2013","Maori","Medium","Total people, all ages","Total people",10250,
"Taupo district","2018","Maori","Medium","Total people, all ages","Total people",11100,
"Taupo district","2023","Maori","Medium","Total people, all ages","Total people",11850,
"Taupo district","2028","Maori","Medium","Total people, all ages","Total people",12600,
"Taupo district","2033","Maori","Medium","Total people, all ages","Total people",13450,
"Taupo district","2038","Maori","Medium","Total people, all ages","Total people",14300,
"Taupo district","2013","Total population","Medium","Total people, all ages","Total people",34800,
"Taupo district","2018","Total population","Medium","Total people, all ages","Total people",37200,
"Taupo district","2023","Total population","Medium","Total people, all ages","Total people",38100,
"Taupo district","2028","Total population","Medium","Total people, all ages","Total people",38700,
"Taupo district","2033","Total population","Medium","Total people, all ages","Total people",39000,
"Taupo district","2038","Total population","Medium","Total people, all ages","Total people",39100,
"Western Bay of Plenty district","2013","Maori","Medium","Total people, all ages","Total people",8580,
"Western Bay of Plenty district","2018","Maori","Medium","Total people, all ages","Total people",9460,
"Western Bay of Plenty district","2023","Maori","Medium","Total people, all ages","Total people",10400,
"Western Bay of Plenty district","2028","Maori","Medium","Total people, all ages","Total people",11400,
"Western Bay of Plenty district","2033","Maori","Medium","Total people, all ages","Total people",12500,
"Western Bay of Plenty district","2038","Maori","Medium","Total people, all ages","Total people",13700,
"Western Bay of Plenty district","2013","Total population","Medium","Total people, all ages","Total people",45500,
"Western Bay of Plenty district","2018","Total population","Medium","Total people, all ages","Total people",49500,
"Western Bay of Plenty district","2023","Total population","Medium","Total people, all ages","Total people",51800,
"Western Bay of Plenty district","2028","Total population","Medium","Total people, all ages","Total people",53800,
"Western Bay of Plenty district","2033","Total population","Medium","Total people, all ages","Total people",55500,
"Western Bay of Plenty district","2038","Total population","Medium","Total people, all ages","Total people",56900,
"Tauranga city","2013","Maori","Medium","Total people, all ages","Total people",21300,
"Tauranga city","2018","Maori","Medium","Total people, all ages","Total people",24200,
"Tauranga city","2023","Maori","Medium","Total people, all ages","Total people",27300,
"Tauranga city","2028","Maori","Medium","Total people, all ages","Total people",30700,
"Tauranga city","2033","Maori","Medium","Total people, all ages","Total people",34500,
"Tauranga city","2038","Maori","Medium","Total people, all ages","Total people",38800,
"Tauranga city","2013","Total population","Medium","Total people, all ages","Total people",119800,
"Tauranga city","2018","Total population","Medium","Total people, all ages","Total people",134600,
"Tauranga city","2023","Total population","Medium","Total people, all ages","Total people",145800,
"Tauranga city","2028","Total population","Medium","Total people, all ages","Total people",154900,
"Tauranga city","2033","Total population","Medium","Total people, all ages","Total people",163600,
"Tauranga city","2038","Total population","Medium","Total people, all ages","Total people",171700,
"Rotorua district","2013","Maori","Medium","Total people, all ages","Total people",25400,
"Rotorua district","2018","Maori","Medium","Total people, all ages","Total people",27000,
"Rotorua district","2023","Maori","Medium","Total people, all ages","Total people",28400,
"Rotorua district","2028","Maori","Medium","Total people, all ages","Total people",29900,
"Rotorua district","2033","Maori","Medium","Total people, all ages","Total people",31400,
"Rotorua district","2038","Maori","Medium","Total people, all ages","Total people",33100,
"Rotorua district","2013","Total population","Medium","Total people, all ages","Total people",68400,
"Rotorua district","2018","Total population","Medium","Total people, all ages","Total people",71800,
"Rotorua district","2023","Total population","Medium","Total people, all ages","Total people",73400,
"Rotorua district","2028","Total population","Medium","Total people, all ages","Total people",74000,
"Rotorua district","2033","Total population","Medium","Total people, all ages","Total people",74100,
"Rotorua district","2038","Total population","Medium","Total people, all ages","Total people",73600,
"Whakatane district","2013","Maori","Medium","Total people, all ages","Total people",14800,
"Whakatane district","2018","Maori","Medium","Total people, all ages","Total people",15700,
"Whakatane district","2023","Maori","Medium","Total people, all ages","Total people",16250,
"Whakatane district","2028","Maori","Medium","Total people, all ages","Total people",16600,
"Whakatane district","2033","Maori","Medium","Total people, all ages","Total people",16850,
"Whakatane district","2038","Maori","Medium","Total people, all ages","Total people",17050,
"Whakatane district","2013","Total population","Medium","Total people, all ages","Total people",34200,
"Whakatane district","2018","Total population","Medium","Total people, all ages","Total people",35800,
"Whakatane district","2023","Total population","Medium","Total people, all ages","Total people",36200,
"Whakatane district","2028","Total population","Medium","Total people, all ages","Total people",36400,
"Whakatane district","2033","Total population","Medium","Total people, all ages","Total people",36300,
"Whakatane district","2038","Total population","Medium","Total people, all ages","Total people",35800,
"Kawerau district","2013","Maori","Medium","Total people, all ages","Total people",3990,
"Kawerau district","2018","Maori","Medium","Total people, all ages","Total people",4200,
"Kawerau district","2023","Maori","Medium","Total people, all ages","Total people",4270,
"Kawerau district","2028","Maori","Medium","Total people, all ages","Total people",4270,
"Kawerau district","2033","Maori","Medium","Total people, all ages","Total people",4230,
"Kawerau district","2038","Maori","Medium","Total people, all ages","Total people",4170,
"Kawerau district","2013","Total population","Medium","Total people, all ages","Total people",6650,
"Kawerau district","2018","Total population","Medium","Total people, all ages","Total people",6840,
"Kawerau district","2023","Total population","Medium","Total people, all ages","Total people",6630,
"Kawerau district","2028","Total population","Medium","Total people, all ages","Total people",6370,
"Kawerau district","2033","Total population","Medium","Total people, all ages","Total people",6030,
"Kawerau district","2038","Total population","Medium","Total people, all ages","Total people",5620,
"Opotiki district","2013","Maori","Medium","Total people, all ages","Total people",5070,
"Opotiki district","2018","Maori","Medium","Total people, all ages","Total people",5320,
"Opotiki district","2023","Maori","Medium","Total people, all ages","Total people",5360,
"Opotiki district","2028","Maori","Medium","Total people, all ages","Total people",5320,
"Opotiki district","2033","Maori","Medium","Total people, all ages","Total people",5200,
"Opotiki district","2038","Maori","Medium","Total people, all ages","Total people",5010,
"Opotiki district","2013","Total population","Medium","Total people, all ages","Total people",8780,
"Opotiki district","2018","Total population","Medium","Total people, all ages","Total people",8800,
"Opotiki district","2023","Total population","Medium","Total people, all ages","Total people",8550,
"Opotiki district","2028","Total population","Medium","Total people, all ages","Total people",8220,
"Opotiki district","2033","Total population","Medium","Total people, all ages","Total people",7790,
"Opotiki district","2038","Total population","Medium","Total people, all ages","Total people",7260,
"Gisborne district","2013","Maori","Medium","Total people, all ages","Total people",23000,
"Gisborne district","2018","Maori","Medium","Total people, all ages","Total people",24600,
"Gisborne district","2023","Maori","Medium","Total people, all ages","Total people",26000,
"Gisborne district","2028","Maori","Medium","Total people, all ages","Total people",27400,
"Gisborne district","2033","Maori","Medium","Total people, all ages","Total people",28700,
"Gisborne district","2038","Maori","Medium","Total people, all ages","Total people",30200,
"Gisborne district","2013","Total population","Medium","Total people, all ages","Total people",47000,
"Gisborne district","2018","Total population","Medium","Total people, all ages","Total people",48500,
"Gisborne district","2023","Total population","Medium","Total people, all ages","Total people",49400,
"Gisborne district","2028","Total population","Medium","Total people, all ages","Total people",50000,
"Gisborne district","2033","Total population","Medium","Total people, all ages","Total people",50300,
"Gisborne district","2038","Total population","Medium","Total people, all ages","Total people",50200,
"Wairoa district","2013","Maori","Medium","Total people, all ages","Total people",5170,
"Wairoa district","2018","Maori","Medium","Total people, all ages","Total people",5200,
"Wairoa district","2023","Maori","Medium","Total people, all ages","Total people",5050,
"Wairoa district","2028","Maori","Medium","Total people, all ages","Total people",4790,
"Wairoa district","2033","Maori","Medium","Total people, all ages","Total people",4440,
"Wairoa district","2038","Maori","Medium","Total people, all ages","Total people",4010,
"Wairoa district","2013","Total population","Medium","Total people, all ages","Total people",8300,
"Wairoa district","2018","Total population","Medium","Total people, all ages","Total people",8140,
"Wairoa district","2023","Total population","Medium","Total people, all ages","Total people",7890,
"Wairoa district","2028","Total population","Medium","Total people, all ages","Total people",7610,
"Wairoa district","2033","Total population","Medium","Total people, all ages","Total people",7250,
"Wairoa district","2038","Total population","Medium","Total people, all ages","Total people",6810,
"Hastings district","2013","Maori","Medium","Total people, all ages","Total people",19300,
"Hastings district","2018","Maori","Medium","Total people, all ages","Total people",21000,
"Hastings district","2023","Maori","Medium","Total people, all ages","Total people",22700,
"Hastings district","2028","Maori","Medium","Total people, all ages","Total people",24400,
"Hastings district","2033","Maori","Medium","Total people, all ages","Total people",26400,
"Hastings district","2038","Maori","Medium","Total people, all ages","Total people",28600,
"Hastings district","2013","Total population","Medium","Total people, all ages","Total people",76700,
"Hastings district","2018","Total population","Medium","Total people, all ages","Total people",80000,
"Hastings district","2023","Total population","Medium","Total people, all ages","Total people",82100,
"Hastings district","2028","Total population","Medium","Total people, all ages","Total people",83900,
"Hastings district","2033","Total population","Medium","Total people, all ages","Total people",85200,
"Hastings district","2038","Total population","Medium","Total people, all ages","Total people",86000,
"Napier city","2013","Maori","Medium","Total people, all ages","Total people",11900,
"Napier city","2018","Maori","Medium","Total people, all ages","Total people",13400,
"Napier city","2023","Maori","Medium","Total people, all ages","Total people",14950,
"Napier city","2028","Maori","Medium","Total people, all ages","Total people",16650,
"Napier city","2033","Maori","Medium","Total people, all ages","Total people",18500,
"Napier city","2038","Maori","Medium","Total people, all ages","Total people",20500,
"Napier city","2013","Total population","Medium","Total people, all ages","Total people",59600,
"Napier city","2018","Total population","Medium","Total people, all ages","Total people",62100,
"Napier city","2023","Total population","Medium","Total people, all ages","Total people",63400,
"Napier city","2028","Total population","Medium","Total people, all ages","Total people",64400,
"Napier city","2033","Total population","Medium","Total people, all ages","Total people",65100,
"Napier city","2038","Total population","Medium","Total people, all ages","Total people",65300,
"Central Hawke's Bay district","2013","Maori","Medium","Total people, all ages","Total people",3040,
"Central Hawke's Bay district","2018","Maori","Medium","Total people, all ages","Total people",3290,
"Central Hawke's Bay district","2023","Maori","Medium","Total people, all ages","Total people",3490,
"Central Hawke's Bay district","2028","Maori","Medium","Total people, all ages","Total people",3650,
"Central Hawke's Bay district","2033","Maori","Medium","Total people, all ages","Total people",3820,
"Central Hawke's Bay district","2038","Maori","Medium","Total people, all ages","Total people",3990,
"Central Hawke's Bay district","2013","Total population","Medium","Total people, all ages","Total people",13250,
"Central Hawke's Bay district","2018","Total population","Medium","Total people, all ages","Total people",13850,
"Central Hawke's Bay district","2023","Total population","Medium","Total people, all ages","Total people",13900,
"Central Hawke's Bay district","2028","Total population","Medium","Total people, all ages","Total people",13800,
"Central Hawke's Bay district","2033","Total population","Medium","Total people, all ages","Total people",13550,
"Central Hawke's Bay district","2038","Total population","Medium","Total people, all ages","Total people",13150,
"New Plymouth district","2013","Maori","Medium","Total people, all ages","Total people",12550,
"New Plymouth district","2018","Maori","Medium","Total people, all ages","Total people",14250,
"New Plymouth district","2023","Maori","Medium","Total people, all ages","Total people",15950,
"New Plymouth district","2028","Maori","Medium","Total people, all ages","Total people",17700,
"New Plymouth district","2033","Maori","Medium","Total people, all ages","Total people",19650,
"New Plymouth district","2038","Maori","Medium","Total people, all ages","Total people",21700,
"New Plymouth district","2013","Total population","Medium","Total people, all ages","Total people",77100,
"New Plymouth district","2018","Total population","Medium","Total people, all ages","Total people",81900,
"New Plymouth district","2023","Total population","Medium","Total people, all ages","Total people",85100,
"New Plymouth district","2028","Total population","Medium","Total people, all ages","Total people",88000,
"New Plymouth district","2033","Total population","Medium","Total people, all ages","Total people",90400,
"New Plymouth district","2038","Total population","Medium","Total people, all ages","Total people",92400,
"Stratford district","2013","Maori","Medium","Total people, all ages","Total people",1160,
"Stratford district","2018","Maori","Medium","Total people, all ages","Total people",1280,
"Stratford district","2023","Maori","Medium","Total people, all ages","Total people",1380,
"Stratford district","2028","Maori","Medium","Total people, all ages","Total people",1480,
"Stratford district","2033","Maori","Medium","Total people, all ages","Total people",1570,
"Stratford district","2038","Maori","Medium","Total people, all ages","Total people",1680,
"Stratford district","2013","Total population","Medium","Total people, all ages","Total people",9210,
"Stratford district","2018","Total population","Medium","Total people, all ages","Total people",9370,
"Stratford district","2023","Total population","Medium","Total people, all ages","Total people",9440,
"Stratford district","2028","Total population","Medium","Total people, all ages","Total people",9490,
"Stratford district","2033","Total population","Medium","Total people, all ages","Total people",9510,
"Stratford district","2038","Total population","Medium","Total people, all ages","Total people",9470,
"South Taranaki district","2013","Maori","Medium","Total people, all ages","Total people",6740,
"South Taranaki district","2018","Maori","Medium","Total people, all ages","Total people",7360,
"South Taranaki district","2023","Maori","Medium","Total people, all ages","Total people",7890,
"South Taranaki district","2028","Maori","Medium","Total people, all ages","Total people",8370,
"South Taranaki district","2033","Maori","Medium","Total people, all ages","Total people",8870,
"South Taranaki district","2038","Maori","Medium","Total people, all ages","Total people",9420,
"South Taranaki district","2013","Total population","Medium","Total people, all ages","Total people",27500,
"South Taranaki district","2018","Total population","Medium","Total people, all ages","Total people",27900,
"South Taranaki district","2023","Total population","Medium","Total people, all ages","Total people",28100,
"South Taranaki district","2028","Total population","Medium","Total people, all ages","Total people",28200,
"South Taranaki district","2033","Total population","Medium","Total people, all ages","Total people",28000,
"South Taranaki district","2038","Total population","Medium","Total people, all ages","Total people",27800,
"Ruapehu district","2013","Maori","Medium","Total people, all ages","Total people",5330,
"Ruapehu district","2018","Maori","Medium","Total people, all ages","Total people",5660,
"Ruapehu district","2023","Maori","Medium","Total people, all ages","Total people",5840,
"Ruapehu district","2028","Maori","Medium","Total people, all ages","Total people",5820,
"Ruapehu district","2033","Maori","Medium","Total people, all ages","Total people",5780,
"Ruapehu district","2038","Maori","Medium","Total people, all ages","Total people",5730,
"Ruapehu district","2013","Total population","Medium","Total people, all ages","Total people",12450,
"Ruapehu district","2018","Total population","Medium","Total people, all ages","Total people",12600,
"Ruapehu district","2023","Total population","Medium","Total people, all ages","Total people",12100,
"Ruapehu district","2028","Total population","Medium","Total people, all ages","Total people",11500,
"Ruapehu district","2033","Total population","Medium","Total people, all ages","Total people",10750,
"Ruapehu district","2038","Total population","Medium","Total people, all ages","Total people",9920,
"Whanganui district","2013","Maori","Medium","Total people, all ages","Total people",10350,
"Whanganui district","2018","Maori","Medium","Total people, all ages","Total people",11250,
"Whanganui district","2023","Maori","Medium","Total people, all ages","Total people",12100,
"Whanganui district","2028","Maori","Medium","Total people, all ages","Total people",12900,
"Whanganui district","2033","Maori","Medium","Total people, all ages","Total people",13750,
"Whanganui district","2038","Maori","Medium","Total people, all ages","Total people",14600,
"Whanganui district","2013","Total population","Medium","Total people, all ages","Total people",43500,
"Whanganui district","2018","Total population","Medium","Total people, all ages","Total people",44200,
"Whanganui district","2023","Total population","Medium","Total people, all ages","Total people",44400,
"Whanganui district","2028","Total population","Medium","Total people, all ages","Total people",44400,
"Whanganui district","2033","Total population","Medium","Total people, all ages","Total people",44000,
"Whanganui district","2038","Total population","Medium","Total people, all ages","Total people",43400,
"Rangitikei district","2013","Maori","Medium","Total people, all ages","Total people",3630,
"Rangitikei district","2018","Maori","Medium","Total people, all ages","Total people",3850,
"Rangitikei district","2023","Maori","Medium","Total people, all ages","Total people",4040,
"Rangitikei district","2028","Maori","Medium","Total people, all ages","Total people",4170,
"Rangitikei district","2033","Maori","Medium","Total people, all ages","Total people",4320,
"Rangitikei district","2038","Maori","Medium","Total people, all ages","Total people",4460,
"Rangitikei district","2013","Total population","Medium","Total people, all ages","Total people",14550,
"Rangitikei district","2018","Total population","Medium","Total people, all ages","Total people",14950,
"Rangitikei district","2023","Total population","Medium","Total people, all ages","Total people",14900,
"Rangitikei district","2028","Total population","Medium","Total people, all ages","Total people",14750,
"Rangitikei district","2033","Total population","Medium","Total people, all ages","Total people",14450,
"Rangitikei district","2038","Total population","Medium","Total people, all ages","Total people",14000,
"Manawatu district","2013","Maori","Medium","Total people, all ages","Total people",4390,
"Manawatu district","2018","Maori","Medium","Total people, all ages","Total people",4940,
"Manawatu district","2023","Maori","Medium","Total people, all ages","Total people",5440,
"Manawatu district","2028","Maori","Medium","Total people, all ages","Total people",5950,
"Manawatu district","2033","Maori","Medium","Total people, all ages","Total people",6490,
"Manawatu district","2038","Maori","Medium","Total people, all ages","Total people",7080,
"Manawatu district","2013","Total population","Medium","Total people, all ages","Total people",28500,
"Manawatu district","2018","Total population","Medium","Total people, all ages","Total people",30700,
"Manawatu district","2023","Total population","Medium","Total people, all ages","Total people",31900,
"Manawatu district","2028","Total population","Medium","Total people, all ages","Total people",32900,
"Manawatu district","2033","Total population","Medium","Total people, all ages","Total people",33800,
"Manawatu district","2038","Total population","Medium","Total people, all ages","Total people",34400,
"Palmerston North city","2013","Maori","Medium","Total people, all ages","Total people",14300,
"Palmerston North city","2018","Maori","Medium","Total people, all ages","Total people",16050,
"Palmerston North city","2023","Maori","Medium","Total people, all ages","Total people",17850,
"Palmerston North city","2028","Maori","Medium","Total people, all ages","Total people",19750,
"Palmerston North city","2033","Maori","Medium","Total people, all ages","Total people",21800,
"Palmerston North city","2038","Maori","Medium","Total people, all ages","Total people",23900,
"Palmerston North city","2013","Total population","Medium","Total people, all ages","Total people",83500,
"Palmerston North city","2018","Total population","Medium","Total people, all ages","Total people",88200,
"Palmerston North city","2023","Total population","Medium","Total people, all ages","Total people",91400,
"Palmerston North city","2028","Total population","Medium","Total people, all ages","Total people",94200,
"Palmerston North city","2033","Total population","Medium","Total people, all ages","Total people",96700,
"Palmerston North city","2038","Total population","Medium","Total people, all ages","Total people",98800,
"Tararua district","2013","Maori","Medium","Total people, all ages","Total people",3830,
"Tararua district","2018","Maori","Medium","Total people, all ages","Total people",4190,
"Tararua district","2023","Maori","Medium","Total people, all ages","Total people",4550,
"Tararua district","2028","Maori","Medium","Total people, all ages","Total people",4930,
"Tararua district","2033","Maori","Medium","Total people, all ages","Total people",5330,
"Tararua district","2038","Maori","Medium","Total people, all ages","Total people",5770,
"Tararua district","2013","Total population","Medium","Total people, all ages","Total people",17450,
"Tararua district","2018","Total population","Medium","Total people, all ages","Total people",17500,
"Tararua district","2023","Total population","Medium","Total people, all ages","Total people",17300,
"Tararua district","2028","Total population","Medium","Total people, all ages","Total people",17000,
"Tararua district","2033","Total population","Medium","Total people, all ages","Total people",16600,
"Tararua district","2038","Total population","Medium","Total people, all ages","Total people",16050,
"Horowhenua district","2013","Maori","Medium","Total people, all ages","Total people",7300,
"Horowhenua district","2018","Maori","Medium","Total people, all ages","Total people",8000,
"Horowhenua district","2023","Maori","Medium","Total people, all ages","Total people",8750,
"Horowhenua district","2028","Maori","Medium","Total people, all ages","Total people",9570,
"Horowhenua district","2033","Maori","Medium","Total people, all ages","Total people",10450,
"Horowhenua district","2038","Maori","Medium","Total people, all ages","Total people",11450,
"Horowhenua district","2013","Total population","Medium","Total people, all ages","Total people",31200,
"Horowhenua district","2018","Total population","Medium","Total people, all ages","Total people",32200,
"Horowhenua district","2023","Total population","Medium","Total people, all ages","Total people",32500,
"Horowhenua district","2028","Total population","Medium","Total people, all ages","Total people",32600,
"Horowhenua district","2033","Total population","Medium","Total people, all ages","Total people",32400,
"Horowhenua district","2038","Total population","Medium","Total people, all ages","Total people",32000,
"Kapiti Coast district","2013","Maori","Medium","Total people, all ages","Total people",6940,
"Kapiti Coast district","2018","Maori","Medium","Total people, all ages","Total people",7820,
"Kapiti Coast district","2023","Maori","Medium","Total people, all ages","Total people",8680,
"Kapiti Coast district","2028","Maori","Medium","Total people, all ages","Total people",9600,
"Kapiti Coast district","2033","Maori","Medium","Total people, all ages","Total people",10650,
"Kapiti Coast district","2038","Maori","Medium","Total people, all ages","Total people",11750,
"Kapiti Coast district","2013","Total population","Medium","Total people, all ages","Total people",50700,
"Kapiti Coast district","2018","Total population","Medium","Total people, all ages","Total people",53100,
"Kapiti Coast district","2023","Total population","Medium","Total people, all ages","Total people",54700,
"Kapiti Coast district","2028","Total population","Medium","Total people, all ages","Total people",56200,
"Kapiti Coast district","2033","Total population","Medium","Total people, all ages","Total people",57500,
"Kapiti Coast district","2038","Total population","Medium","Total people, all ages","Total people",58500,
"Porirua city","2013","Maori","Medium","Total people, all ages","Total people",11450,
"Porirua city","2018","Maori","Medium","Total people, all ages","Total people",12500,
"Porirua city","2023","Maori","Medium","Total people, all ages","Total people",13400,
"Porirua city","2028","Maori","Medium","Total people, all ages","Total people",14300,
"Porirua city","2033","Maori","Medium","Total people, all ages","Total people",15350,
"Porirua city","2038","Maori","Medium","Total people, all ages","Total people",16450,
"Porirua city","2013","Total population","Medium","Total people, all ages","Total people",53700,
"Porirua city","2018","Total population","Medium","Total people, all ages","Total people",56600,
"Porirua city","2023","Total population","Medium","Total people, all ages","Total people",58300,
"Porirua city","2028","Total population","Medium","Total people, all ages","Total people",59500,
"Porirua city","2033","Total population","Medium","Total people, all ages","Total people",60300,
"Porirua city","2038","Total population","Medium","Total people, all ages","Total people",60600,
"Upper Hutt city","2013","Maori","Medium","Total people, all ages","Total people",6020,
"Upper Hutt city","2018","Maori","Medium","Total people, all ages","Total people",6580,
"Upper Hutt city","2023","Maori","Medium","Total people, all ages","Total people",7040,
"Upper Hutt city","2028","Maori","Medium","Total people, all ages","Total people",7520,
"Upper Hutt city","2033","Maori","Medium","Total people, all ages","Total people",8030,
"Upper Hutt city","2038","Maori","Medium","Total people, all ages","Total people",8600,
"Upper Hutt city","2013","Total population","Medium","Total people, all ages","Total people",41300,
"Upper Hutt city","2018","Total population","Medium","Total people, all ages","Total people",43400,
"Upper Hutt city","2023","Total population","Medium","Total people, all ages","Total people",44900,
"Upper Hutt city","2028","Total population","Medium","Total people, all ages","Total people",46100,
"Upper Hutt city","2033","Total population","Medium","Total people, all ages","Total people",47100,
"Upper Hutt city","2038","Total population","Medium","Total people, all ages","Total people",47700,
"Lower Hutt city","2013","Maori","Medium","Total people, all ages","Total people",17750,
"Lower Hutt city","2018","Maori","Medium","Total people, all ages","Total people",19350,
"Lower Hutt city","2023","Maori","Medium","Total people, all ages","Total people",20900,
"Lower Hutt city","2028","Maori","Medium","Total people, all ages","Total people",22400,
"Lower Hutt city","2033","Maori","Medium","Total people, all ages","Total people",24000,
"Lower Hutt city","2038","Maori","Medium","Total people, all ages","Total people",25800,
"Lower Hutt city","2013","Total population","Medium","Total people, all ages","Total people",101200,
"Lower Hutt city","2018","Total population","Medium","Total people, all ages","Total people",105000,
"Lower Hutt city","2023","Total population","Medium","Total people, all ages","Total people",106800,
"Lower Hutt city","2028","Total population","Medium","Total people, all ages","Total people",107800,
"Lower Hutt city","2033","Total population","Medium","Total people, all ages","Total people",108100,
"Lower Hutt city","2038","Total population","Medium","Total people, all ages","Total people",107700,
"Wellington city","2013","Maori","Medium","Total people, all ages","Total people",16650,
"Wellington city","2018","Maori","Medium","Total people, all ages","Total people",18200,
"Wellington city","2023","Maori","Medium","Total people, all ages","Total people",19800,
"Wellington city","2028","Maori","Medium","Total people, all ages","Total people",21400,
"Wellington city","2033","Maori","Medium","Total people, all ages","Total people",23000,
"Wellington city","2038","Maori","Medium","Total people, all ages","Total people",24600,
"Wellington city","2013","Total population","Medium","Total people, all ages","Total people",197500,
"Wellington city","2018","Total population","Medium","Total people, all ages","Total people",212800,
"Wellington city","2023","Total population","Medium","Total people, all ages","Total people",222600,
"Wellington city","2028","Total population","Medium","Total people, all ages","Total people",230500,
"Wellington city","2033","Total population","Medium","Total people, all ages","Total people",238000,
"Wellington city","2038","Total population","Medium","Total people, all ages","Total people",244600,
"Masterton district","2013","Maori","Medium","Total people, all ages","Total people",4580,
"Masterton district","2018","Maori","Medium","Total people, all ages","Total people",5110,
"Masterton district","2023","Maori","Medium","Total people, all ages","Total people",5690,
"Masterton district","2028","Maori","Medium","Total people, all ages","Total people",6320,
"Masterton district","2033","Maori","Medium","Total people, all ages","Total people",7000,
"Masterton district","2038","Maori","Medium","Total people, all ages","Total people",7730,
"Masterton district","2013","Total population","Medium","Total people, all ages","Total people",24100,
"Masterton district","2018","Total population","Medium","Total people, all ages","Total people",25000,
"Masterton district","2023","Total population","Medium","Total people, all ages","Total people",25500,
"Masterton district","2028","Total population","Medium","Total people, all ages","Total people",25800,
"Masterton district","2033","Total population","Medium","Total people, all ages","Total people",25900,
"Masterton district","2038","Total population","Medium","Total people, all ages","Total people",25800,
"Carterton district","2013","Maori","Medium","Total people, all ages","Total people",1040,
"Carterton district","2018","Maori","Medium","Total people, all ages","Total people",1190,
"Carterton district","2023","Maori","Medium","Total people, all ages","Total people",1330,
"Carterton district","2028","Maori","Medium","Total people, all ages","Total people",1480,
"Carterton district","2033","Maori","Medium","Total people, all ages","Total people",1640,
"Carterton district","2038","Maori","Medium","Total people, all ages","Total people",1800,
"Carterton district","2013","Total population","Medium","Total people, all ages","Total people",8490,
"Carterton district","2018","Total population","Medium","Total people, all ages","Total people",9070,
"Carterton district","2023","Total population","Medium","Total people, all ages","Total people",9330,
"Carterton district","2028","Total population","Medium","Total people, all ages","Total people",9530,
"Carterton district","2033","Total population","Medium","Total people, all ages","Total people",9670,
"Carterton district","2038","Total population","Medium","Total people, all ages","Total people",9720,
"South Wairarapa district","2013","Maori","Medium","Total people, all ages","Total people",1390,
"South Wairarapa district","2018","Maori","Medium","Total people, all ages","Total people",1540,
"South Wairarapa district","2023","Maori","Medium","Total people, all ages","Total people",1700,
"South Wairarapa district","2028","Maori","Medium","Total people, all ages","Total people",1870,
"South Wairarapa district","2033","Maori","Medium","Total people, all ages","Total people",2050,
"South Wairarapa district","2038","Maori","Medium","Total people, all ages","Total people",2250,
